SampleID,TYPE,Value,DL
A7481,DUP,1.5,
A7482,CRM,<0.02,0.01
A7483,BLK,ND,0.005
A7484,DUP,1.5,
A7485,CRM,<0.02,0.01
A7486,BLK,ND,0.005
A7487,DUP,1.5,
A7488,CRM,<0.02,0.01
A7489,BLK,ND,0.005
A7490,DUP,1.5,
A7491,CRM,<0.02,0.01
A7492,BLK,ND,0.005
A7493,DUP,1.5,
A7494,CRM,<0.02,0.01
A7495,BLK,ND,0.005
A7496,DUP,1.5,
A7497,CRM,<0.02,0.01
A7498,BLK,ND,0.005
A7499,DUP,1.5,
A7500,CRM,<0.02,0.01
A7501,BLK,ND,0.005
A7502,DUP,1.5,
A7503,CRM,<0.02,0.01
A7504,BLK,ND,0.005
A7505,DUP,1.5,
A7506,CRM,<0.02,0.01
A7507,BLK,ND,0.005
A7508,DUP,1.5,
A7509,CRM,<0.02,0.01
A7510,BLK,ND,0.005
A7511,DUP,1.5,
A7512,CRM,<0.02,0.01
A7513,BLK,ND,0.005
A7514,DUP,1.5,
A7515,CRM,<0.02,0.01
A7516,BLK,ND,0.005
A7517,DUP,1.5,
A7518,CRM,<0.02,0.01
A7519,BLK,ND,0.005
A7520,DUP,1.5,
A7521,CRM,<0.02,0.01
A7522,BLK,ND,0.005
A7523,DUP,1.5,
A7524,CRM,<0.02,0.01
A7525,BLK,ND,0.005
A7526,DUP,1.5,
A7527,CRM,<0.02,0.01
A7528,BLK,ND,0.005
A7529,DUP,1.5,
A7530,CRM,<0.02,0.01
A7531,BLK,ND,0.005
A7532,DUP,1.5,
A7533,CRM,<0.02,0.01
A7534,BLK,ND,0.005
A7535,DUP,1.5,
A7536,CRM,<0.02,0.01
A7537,BLK,ND,0.005
A7538,DUP,1.5,
A7539,CRM,<0.02,0.01
A7540,BLK,ND,0.005
A7541,DUP,1.5,
A7542,CRM,<0.02,0.01
A7543,BLK,ND,0.005
A7544,DUP,1.5,
A7545,CRM,<0.02,0.01
A7546,BLK,ND,0.005
A7547,DUP,1.5,
A7548,CRM,<0.02,0.01
A7549,BLK,ND,0.005
A7550,DUP,1.5,
A7551,CRM,<0.02,0.01
A7552,BLK,ND,0.005
A7553,DUP,1.5,
A7554,CRM,<0.02,0.01
A7555,BLK,ND,0.005
A7556,DUP,1.5,
A7557,CRM,<0.02,0.01
A7558,BLK,ND,0.005
A7559,DUP,1.5,
A7560,CRM,<0.02,0.01
A7561,BLK,ND,0.005
A7562,DUP,1.5,
A7563,CRM,<0.02,0.01
A7564,BLK,ND,0.005
A7565,DUP,1.5,
A7566,CRM,<0.02,0.01
A7567,BLK,ND,0.005
A7568,DUP,1.5,
A7569,CRM,<0.02,0.01
A7570,BLK,ND,0.005
A7571,DUP,1.5,
A7572,CRM,<0.02,0.01
A7573,BLK,ND,0.005
A7574,DUP,1.5,
A7575,CRM,<0.02,0.01
A7576,BLK,ND,0.005
A7577,DUP,1.5,
A7578,CRM,<0.02,0.01
A7579,BLK,ND,0.005
A7580,DUP,1.5,
A7581,CRM,<0.02,0.01
A7582,BLK,ND,0.005
A7583,DUP,1.5,
A7584,CRM,<0.02,0.01
A7585,BLK,ND,0.005
A7586,DUP,1.5,
A7587,CRM,<0.02,0.01
A7588,BLK,ND,0.005
A7589,DUP,1.5,
A7590,CRM,<0.02,0.01
A7591,BLK,ND,0.005
A7592,DUP,1.5,
A7593,CRM,<0.02,0.01
A7594,BLK,ND,0.005
A7595,DUP,1.5,
A7596,CRM,<0.02,0.01
A7597,BLK,ND,0.005
A7598,DUP,1.5,
A7599,CRM,<0.02,0.01
A7600,BLK,ND,0.005
A7601,DUP,1.5,
A7602,CRM,<0.02,0.01
A7603,BLK,ND,0.005
A7604,DUP,1.5,
A7605,CRM,<0.02,0.01
A7606,BLK,ND,0.005
A7607,DUP,1.5,
A7608,CRM,<0.02,0.01
A7609,BLK,ND,0.005
A7610,DUP,1.5,
A7611,CRM,<0.02,0.01
A7612,BLK,ND,0.005
A7613,DUP,1.5,
A7614,CRM,<0.02,0.01
A7615,BLK,ND,0.005
A7616,DUP,1.5,
A7617,CRM,<0.02,0.01
A7618,BLK,ND,0.005
A7619,DUP,1.5,
A7620,CRM,<0.02,0.01
A7621,BLK,ND,0.005
A7622,DUP,1.5,
A7623,CRM,<0.02,0.01
A7624,BLK,ND,0.005
A7625,DUP,1.5,
A7626,CRM,<0.02,0.01
A7627,BLK,ND,0.005
A7628,DUP,1.5,
A7629,CRM,<0.02,0.01
A7630,BLK,ND,0.005
A7631,DUP,1.5,
A7632,CRM,<0.02,0.01
A7633,BLK,ND,0.005
A7634,DUP,1.5,
A7635,CRM,<0.02,0.01
A7636,BLK,ND,0.005
A7637,DUP,1.5,
A7638,CRM,<0.02,0.01
A7639,BLK,ND,0.005
A7640,DUP,1.5,
A7641,CRM,<0.02,0.01
A7642,BLK,ND,0.005
A7643,DUP,1.5,
A7644,CRM,<0.02,0.01
A7645,BLK,ND,0.005
A7646,DUP,1.5,
A7647,CRM,<0.02,0.01
A7648,BLK,ND,0.005
A7649,DUP,1.5,
A7650,CRM,<0.02,0.01
A7651,BLK,ND,0.005
A7652,DUP,1.5,
A7653,CRM,<0.02,0.01
A7654,BLK,ND,0.005
A7655,DUP,1.5,
A7656,CRM,<0.02,0.01
A7657,BLK,ND,0.005
A7658,DUP,1.5,
A7659,CRM,<0.02,0.01
A7660,BLK,ND,0.005
A7661,DUP,1.5,
A7662,CRM,<0.02,0.01
A7663,BLK,ND,0.005
A7664,DUP,1.5,
A7665,CRM,<0.02,0.01
A7666,BLK,ND,0.005
A7667,DUP,1.5,
A7668,CRM,<0.02,0.01
A7669,BLK,ND,0.005
A7670,DUP,1.5,
A7671,CRM,<0.02,0.01
A7672,BLK,ND,0.005
A7673,DUP,1.5,
A7674,CRM,<0.02,0.01
A7675,BLK,ND,0.005
A7676,DUP,1.5,
A7677,CRM,<0.02,0.01
A7678,BLK,ND,0.005
A7679,DUP,1.5,
A7680,CRM,<0.02,0.01
A7681,BLK,ND,0.005
A7682,DUP,1.5,
A7683,CRM,<0.02,0.01
A7684,BLK,ND,0.005
A7685,DUP,1.5,
A7686,CRM,<0.02,0.01
A7687,BLK,ND,0.005
A7688,DUP,1.5,
A7689,CRM,<0.02,0.01
A7690,BLK,ND,0.005
A7691,DUP,1.5,
A7692,CRM,<0.02,0.01
A7693,BLK,ND,0.005
A7694,DUP,1.5,
A7695,CRM,<0.02,0.01
A7696,BLK,ND,0.005
A7697,DUP,1.5,
A7698,CRM,<0.02,0.01
A7699,BLK,ND,0.005
A7700,DUP,1.5,
A7701,CRM,<0.02,0.01
A7702,BLK,ND,0.005
A7703,DUP,1.5,
A7704,CRM,<0.02,0.01
A7705,BLK,ND,0.005
A7706,DUP,1.5,
A7707,CRM,<0.02,0.01
A7708,BLK,ND,0.005
A7709,DUP,1.5,
A7710,CRM,<0.02,0.01
A7711,BLK,ND,0.005
A7712,DUP,1.5,
A7713,CRM,<0.02,0.01
A7714,BLK,ND,0.005
A7715,DUP,1.5,
A7716,CRM,<0.02,0.01
A7717,BLK,ND,0.005
A7718,DUP,1.5,
A7719,CRM,<0.02,0.01
A7720,BLK,ND,0.005
A7721,DUP,1.5,
A7722,CRM,<0.02,0.01
A7723,BLK,ND,0.005
A7724,DUP,1.5,
A7725,CRM,<0.02,0.01
A7726,BLK,ND,0.005
A7727,DUP,1.5,
A7728,CRM,<0.02,0.01
A7729,BLK,ND,0.005
A7730,DUP,1.5,
A7731,CRM,<0.02,0.01
A7732,BLK,ND,0.005
A7733,DUP,1.5,
A7734,CRM,<0.02,0.01
A7735,BLK,ND,0.005
A7736,DUP,1.5,
A7737,CRM,<0.02,0.01
A7738,BLK,ND,0.005
A7739,DUP,1.5,
A7740,CRM,<0.02,0.01
A7741,BLK,ND,0.005
A7742,DUP,1.5,
A7743,CRM,<0.02,0.01
A7744,BLK,ND,0.005
A7745,DUP,1.5,
A7746,CRM,<0.02,0.01
A7747,BLK,ND,0.005
A7748,DUP,1.5,
A7749,CRM,<0.02,0.01
A7750,BLK,ND,0.005
A7751,DUP,1.5,
A7752,CRM,<0.02,0.01
A7753,BLK,ND,0.005
A7754,DUP,1.5,
A7755,CRM,<0.02,0.01
A7756,BLK,ND,0.005
A7757,DUP,1.5,
A7758,CRM,<0.02,0.01
A7759,BLK,ND,0.005
A7760,DUP,1.5,
A7761,CRM,<0.02,0.01
A7762,BLK,ND,0.005
A7763,DUP,1.5,
A7764,CRM,<0.02,0.01
A7765,BLK,ND,0.005
A7766,DUP,1.5,
A7767,CRM,<0.02,0.01
A7768,BLK,ND,0.005
A7769,DUP,1.5,
A7770,CRM,<0.02,0.01
A7771,BLK,ND,0.005
A7772,DUP,1.5,
A7773,CRM,<0.02,0.01
A7774,BLK,ND,0.005
A7775,DUP,1.5,
A7776,CRM,<0.02,0.01
A7777,BLK,ND,0.005
A7778,DUP,1.5,
A7779,CRM,<0.02,0.01
A7780,BLK,ND,0.005
A7781,DUP,1.5,
A7782,CRM,<0.02,0.01
A7783,BLK,ND,0.005
A7784,DUP,1.5,
A7785,CRM,<0.02,0.01
A7786,BLK,ND,0.005
A7787,DUP,1.5,
A7788,CRM,<0.02,0.01
A7789,BLK,ND,0.005
A7790,DUP,1.5,
A7791,CRM,<0.02,0.01
A7792,BLK,ND,0.005
A7793,DUP,1.5,
A7794,CRM,<0.02,0.01
A7795,BLK,ND,0.005
A7796,DUP,1.5,
A7797,CRM,<0.02,0.01
A7798,BLK,ND,0.005
A7799,DUP,1.5,
A7800,CRM,<0.02,0.01
A7801,BLK,ND,0.005
A7802,DUP,1.5,
A7803,CRM,<0.02,0.01
A7804,BLK,ND,0.005
A7805,DUP,1.5,
A7806,CRM,<0.02,0.01
A7807,BLK,ND,0.005
A7808,DUP,1.5,
A7809,CRM,<0.02,0.01
A7810,BLK,ND,0.005
A7811,DUP,1.5,
A7812,CRM,<0.02,0.01
A7813,BLK,ND,0.005
A7814,DUP,1.5,
A7815,CRM,<0.02,0.01
A7816,BLK,ND,0.005
A7817,DUP,1.5,
A7818,CRM,<0.02,0.01
A7819,BLK,ND,0.005
A7820,DUP,1.5,
A7821,CRM,<0.02,0.01
A7822,BLK,ND,0.005
A7823,DUP,1.5,
A7824,CRM,<0.02,0.01
A7825,BLK,ND,0.005
A7826,DUP,1.5,
A7827,CRM,<0.02,0.01
A7828,BLK,ND,0.005
A7829,DUP,1.5,
A7830,CRM,<0.02,0.01
A7831,BLK,ND,0.005
A7832,DUP,1.5,
A7833,CRM,<0.02,0.01
A7834,BLK,ND,0.005
A7835,DUP,1.5,
A7836,CRM,<0.02,0.01
A7837,BLK,ND,0.005
A7838,DUP,1.5,
A7839,CRM,<0.02,0.01
A7840,BLK,ND,0.005
A7841,DUP,1.5,
A7842,CRM,<0.02,0.01
A7843,BLK,ND,0.005
A7844,DUP,1.5,
A7845,CRM,<0.02,0.01
A7846,BLK,ND,0.005
A7847,DUP,1.5,
A7848,CRM,<0.02,0.01
A7849,BLK,ND,0.005
A7850,DUP,1.5,
A7851,CRM,<0.02,0.01
A7852,BLK,ND,0.005
A7853,DUP,1.5,
A7854,CRM,<0.02,0.01
A7855,BLK,ND,0.005
A7856,DUP,1.5,
A7857,CRM,<0.02,0.01
A7858,BLK,ND,0.005
A7859,DUP,1.5,
A7860,CRM,<0.02,0.01
A7861,BLK,ND,0.005
A7862,DUP,1.5,
A7863,CRM,<0.02,0.01
A7864,BLK,ND,0.005
A7865,DUP,1.5,
A7866,CRM,<0.02,0.01
A7867,BLK,ND,0.005
A7868,DUP,1.5,
A7869,CRM,<0.02,0.01
A7870,BLK,ND,0.005
A7871,DUP,1.5,
A7872,CRM,<0.02,0.01
A7873,BLK,ND,0.005
A7874,DUP,1.5,
A7875,CRM,<0.02,0.01
A7876,BLK,ND,0.005
A7877,DUP,1.5,
A7878,CRM,<0.02,0.01
A7879,BLK,ND,0.005
A7880,DUP,1.5,
A7881,CRM,<0.02,0.01
A7882,BLK,ND,0.005
A7883,DUP,1.5,
A7884,CRM,<0.02,0.01
A7885,BLK,ND,0.005
A7886,DUP,1.5,
A7887,CRM,<0.02,0.01
A7888,BLK,ND,0.005
A7889,DUP,1.5,
A7890,CRM,<0.02,0.01
A7891,BLK,ND,0.005
A7892,DUP,1.5,
A7893,CRM,<0.02,0.01
A7894,BLK,ND,0.005
A7895,DUP,1.5,
A7896,CRM,<0.02,0.01
A7897,BLK,ND,0.005
A7898,DUP,1.5,
A7899,CRM,<0.02,0.01
A7900,BLK,ND,0.005
A7901,DUP,1.5,
A7902,CRM,<0.02,0.01
A7903,BLK,ND,0.005
A7904,DUP,1.5,
A7905,CRM,<0.02,0.01
A7906,BLK,ND,0.005
A7907,DUP,1.5,
A7908,CRM,<0.02,0.01
A7909,BLK,ND,0.005
A7910,DUP,1.5,
A7911,CRM,<0.02,0.01
A7912,BLK,ND,0.005
A7913,DUP,1.5,
A7914,CRM,<0.02,0.01
A7915,BLK,ND,0.005
A7916,DUP,1.5,
A7917,CRM,<0.02,0.01
A7918,BLK,ND,0.005
A7919,DUP,1.5,
A7920,CRM,<0.02,0.01
A7921,BLK,ND,0.005
A7922,DUP,1.5,
A7923,CRM,<0.02,0.01
A7924,BLK,ND,0.005
A7925,DUP,1.5,
A7926,CRM,<0.02,0.01
A7927,BLK,ND,0.005
A7928,DUP,1.5,
A7929,CRM,<0.02,0.01
A7930,BLK,ND,0.005
A7931,DUP,1.5,
A7932,CRM,<0.02,0.01
A7933,BLK,ND,0.005
A7934,DUP,1.5,
A7935,CRM,<0.02,0.01
A7936,BLK,ND,0.005
A7937,DUP,1.5,
A7938,CRM,<0.02,0.01
A7939,BLK,ND,0.005
A7940,DUP,1.5,
A7941,CRM,<0.02,0.01
A7942,BLK,ND,0.005
A7943,DUP,1.5,
A7944,CRM,<0.02,0.01
A7945,BLK,ND,0.005
A7946,DUP,1.5,
A7947,CRM,<0.02,0.01
A7948,BLK,ND,0.005
A7949,DUP,1.5,
A7950,CRM,<0.02,0.01
A7951,BLK,ND,0.005
A7952,DUP,1.5,
A7953,CRM,<0.02,0.01
A7954,BLK,ND,0.005
A7955,DUP,1.5,
A7956,CRM,<0.02,0.01
A7957,BLK,ND,0.005
A7958,DUP,1.5,
A7959,CRM,<0.02,0.01
A7960,BLK,ND,0.005
A7961,DUP,1.5,
A7962,CRM,<0.02,0.01
A7963,BLK,ND,0.005
A7964,DUP,1.5,
A7965,CRM,<0.02,0.01
A7966,BLK,ND,0.005
A7967,DUP,1.5,
A7968,CRM,<0.02,0.01
A7969,BLK,ND,0.005
A7970,DUP,1.5,
A7971,CRM,<0.02,0.01
A7972,BLK,ND,0.005
A7973,DUP,1.5,
A7974,CRM,<0.02,0.01
A7975,BLK,ND,0.005
A7976,DUP,1.5,
A7977,CRM,<0.02,0.01
A7978,BLK,ND,0.005
A7979,DUP,1.5,
A7980,CRM,<0.02,0.01
A7981,BLK,ND,0.005
A7982,DUP,1.5,
A7983,CRM,<0.02,0.01
A7984,BLK,ND,0.005
A7985,DUP,1.5,
A7986,CRM,<0.02,0.01
A7987,BLK,ND,0.005
A7988,DUP,1.5,
A7989,CRM,<0.02,0.01
A7990,BLK,ND,0.005
A7991,DUP,1.5,
A7992,CRM,<0.02,0.01
A7993,BLK,ND,0.005
A7994,DUP,1.5,
A7995,CRM,<0.02,0.01
A7996,BLK,ND,0.005
A7997,DUP,1.5,
A7998,CRM,<0.02,0.01
A7999,BLK,ND,0.005
A8000,DUP,1.5,
A8001,CRM,<0.02,0.01
A8002,BLK,ND,0.005
A8003,DUP,1.5,
A8004,CRM,<0.02,0.01
A8005,BLK,ND,0.005
A8006,DUP,1.5,
A8007,CRM,<0.02,0.01
A8008,BLK,ND,0.005
A8009,DUP,1.5,
A8010,CRM,<0.02,0.01
A8011,BLK,ND,0.005
A8012,DUP,1.5,
A8013,CRM,<0.02,0.01
A8014,BLK,ND,0.005
A8015,DUP,1.5,
A8016,CRM,<0.02,0.01
A8017,BLK,ND,0.005
A8018,DUP,1.5,
A8019,CRM,<0.02,0.01
A8020,BLK,ND,0.005
A8021,DUP,1.5,
A8022,CRM,<0.02,0.01
A8023,BLK,ND,0.005
A8024,DUP,1.5,
A8025,CRM,<0.02,0.01
A8026,BLK,ND,0.005
A8027,DUP,1.5,
A8028,CRM,<0.02,0.01
A8029,BLK,ND,0.005
A8030,DUP,1.5,
A8031,CRM,<0.02,0.01
A8032,BLK,ND,0.005
A8033,DUP,1.5,
A8034,CRM,<0.02,0.01
A8035,BLK,ND,0.005
A8036,DUP,1.5,
A8037,CRM,<0.02,0.01
A8038,BLK,ND,0.005
A8039,DUP,1.5,
A8040,CRM,<0.02,0.01
A8041,BLK,ND,0.005
A8042,DUP,1.5,
A8043,CRM,<0.02,0.01
A8044,BLK,ND,0.005
A8045,DUP,1.5,
A8046,CRM,<0.02,0.01
A8047,BLK,ND,0.005
A8048,DUP,1.5,
A8049,CRM,<0.02,0.01
A8050,BLK,ND,0.005
A8051,DUP,1.5,
A8052,CRM,<0.02,0.01
A8053,BLK,ND,0.005
A8054,DUP,1.5,
A8055,CRM,<0.02,0.01
A8056,BLK,ND,0.005
A8057,DUP,1.5,
A8058,CRM,<0.02,0.01
A8059,BLK,ND,0.005
A8060,DUP,1.5,
A8061,CRM,<0.02,0.01
A8062,BLK,ND,0.005
A8063,DUP,1.5,
A8064,CRM,<0.02,0.01
A8065,BLK,ND,0.005
A8066,DUP,1.5,
A8067,CRM,<0.02,0.01
A8068,BLK,ND,0.005
A8069,DUP,1.5,
A8070,CRM,<0.02,0.01
A8071,BLK,ND,0.005
A8072,DUP,1.5,
A8073,CRM,<0.02,0.01
A8074,BLK,ND,0.005
A8075,DUP,1.5,
A8076,CRM,<0.02,0.01
A8077,BLK,ND,0.005
A8078,DUP,1.5,
A8079,CRM,<0.02,0.01
A8080,BLK,ND,0.005
A8081,DUP,1.5,
A8082,CRM,<0.02,0.01
A8083,BLK,ND,0.005
A8084,DUP,1.5,
A8085,CRM,<0.02,0.01
A8086,BLK,ND,0.005
A8087,DUP,1.5,
A8088,CRM,<0.02,0.01
A8089,BLK,ND,0.005
A8090,DUP,1.5,
A8091,CRM,<0.02,0.01
A8092,BLK,ND,0.005
A8093,DUP,1.5,
A8094,CRM,<0.02,0.01
A8095,BLK,ND,0.005
A8096,DUP,1.5,
A8097,CRM,<0.02,0.01
A8098,BLK,ND,0.005
A8099,DUP,1.5,
A8100,CRM,<0.02,0.01
A8101,BLK,ND,0.005
A8102,DUP,1.5,
A8103,CRM,<0.02,0.01
A8104,BLK,ND,0.005
A8105,DUP,1.5,
A8106,CRM,<0.02,0.01
A8107,BLK,ND,0.005
A8108,DUP,1.5,
A8109,CRM,<0.02,0.01
A8110,BLK,ND,0.005
A8111,DUP,1.5,
A8112,CRM,<0.02,0.01
A8113,BLK,ND,0.005
A8114,DUP,1.5,
A8115,CRM,<0.02,0.01
A8116,BLK,ND,0.005
A8117,DUP,1.5,
A8118,CRM,<0.02,0.01
A8119,BLK,ND,0.005
A8120,DUP,1.5,
A8121,CRM,<0.02,0.01
A8122,BLK,ND,0.005
A8123,DUP,1.5,
A8124,CRM,<0.02,0.01
A8125,BLK,ND,0.005
A8126,DUP,1.5,
A8127,CRM,<0.02,0.01
A8128,BLK,ND,0.005
A8129,DUP,1.5,
A8130,CRM,<0.02,0.01
A8131,BLK,ND,0.005
A8132,DUP,1.5,
A8133,CRM,<0.02,0.01
A8134,BLK,ND,0.005
A8135,DUP,1.5,
A8136,CRM,<0.02,0.01
A8137,BLK,ND,0.005
A8138,DUP,1.5,
A8139,CRM,<0.02,0.01
A8140,BLK,ND,0.005
A8141,DUP,1.5,
A8142,CRM,<0.02,0.01
A8143,BLK,ND,0.005
A8144,DUP,1.5,
A8145,CRM,<0.02,0.01
A8146,BLK,ND,0.005
A8147,DUP,1.5,
A8148,CRM,<0.02,0.01
A8149,BLK,ND,0.005
A8150,DUP,1.5,
A8151,CRM,<0.02,0.01
A8152,BLK,ND,0.005
A8153,DUP,1.5,
A8154,CRM,<0.02,0.01
A8155,BLK,ND,0.005
A8156,DUP,1.5,
A8157,CRM,<0.02,0.01
A8158,BLK,ND,0.005
A8159,DUP,1.5,
A8160,CRM,<0.02,0.01
A8161,BLK,ND,0.005
A8162,DUP,1.5,
A8163,CRM,<0.02,0.01
A8164,BLK,ND,0.005
A8165,DUP,1.5,
A8166,CRM,<0.02,0.01
A8167,BLK,ND,0.005
A8168,DUP,1.5,
A8169,CRM,<0.02,0.01
A8170,BLK,ND,0.005
A8171,DUP,1.5,
A8172,CRM,<0.02,0.01
A8173,BLK,ND,0.005
A8174,DUP,1.5,
A8175,CRM,<0.02,0.01
A8176,BLK,ND,0.005
A8177,DUP,1.5,
A8178,CRM,<0.02,0.01
A8179,BLK,ND,0.005
A8180,DUP,1.5,
A8181,CRM,<0.02,0.01
A8182,BLK,ND,0.005
A8183,DUP,1.5,
A8184,CRM,<0.02,0.01
A8185,BLK,ND,0.005
A8186,DUP,1.5,
A8187,CRM,<0.02,0.01
A8188,BLK,ND,0.005
A8189,DUP,1.5,
A8190,CRM,<0.02,0.01
A8191,BLK,ND,0.005
A8192,DUP,1.5,
A8193,CRM,<0.02,0.01
A8194,BLK,ND,0.005
A8195,DUP,1.5,
A8196,CRM,<0.02,0.01
A8197,BLK,ND,0.005
A8198,DUP,1.5,
A8199,CRM,<0.02,0.01
A8200,BLK,ND,0.005
A8201,DUP,1.5,
A8202,CRM,<0.02,0.01
A8203,BLK,ND,0.005
A8204,DUP,1.5,
A8205,CRM,<0.02,0.01
A8206,BLK,ND,0.005
A8207,DUP,1.5,
A8208,CRM,<0.02,0.01
A8209,BLK,ND,0.005
A8210,DUP,1.5,
A8211,CRM,<0.02,0.01
A8212,BLK,ND,0.005
A8213,DUP,1.5,
A8214,CRM,<0.02,0.01
A8215,BLK,ND,0.005
A8216,DUP,1.5,
A8217,CRM,<0.02,0.01
A8218,BLK,ND,0.005
A8219,DUP,1.5,
A8220,CRM,<0.02,0.01
A8221,BLK,ND,0.005
A8222,DUP,1.5,
A8223,CRM,<0.02,0.01
A8224,BLK,ND,0.005
A8225,DUP,1.5,
A8226,CRM,<0.02,0.01
A8227,BLK,ND,0.005
A8228,DUP,1.5,
A8229,CRM,<0.02,0.01
A8230,BLK,ND,0.005
A8231,DUP,1.5,
A8232,CRM,<0.02,0.01
A8233,BLK,ND,0.005
A8234,DUP,1.5,
A8235,CRM,<0.02,0.01
A8236,BLK,ND,0.005
A8237,DUP,1.5,
A8238,CRM,<0.02,0.01
A8239,BLK,ND,0.005
A8240,DUP,1.5,
A8241,CRM,<0.02,0.01
A8242,BLK,ND,0.005
A8243,DUP,1.5,
A8244,CRM,<0.02,0.01
A8245,BLK,ND,0.005
A8246,DUP,1.5,
A8247,CRM,<0.02,0.01
A8248,BLK,ND,0.005
A8249,DUP,1.5,
A8250,CRM,<0.02,0.01
A8251,BLK,ND,0.005
A8252,DUP,1.5,
A8253,CRM,<0.02,0.01
A8254,BLK,ND,0.005
A8255,DUP,1.5,
A8256,CRM,<0.02,0.01
A8257,BLK,ND,0.005
A8258,DUP,1.5,
A8259,CRM,<0.02,0.01
A8260,BLK,ND,0.005
A8261,DUP,1.5,
A8262,CRM,<0.02,0.01
A8263,BLK,ND,0.005
A8264,DUP,1.5,
A8265,CRM,<0.02,0.01
A8266,BLK,ND,0.005
A8267,DUP,1.5,
A8268,CRM,<0.02,0.01
A8269,BLK,ND,0.005
A8270,DUP,1.5,
A8271,CRM,<0.02,0.01
A8272,BLK,ND,0.005
A8273,DUP,1.5,
A8274,CRM,<0.02,0.01
A8275,BLK,ND,0.005
A8276,DUP,1.5,
A8277,CRM,<0.02,0.01
A8278,BLK,ND,0.005
A8279,DUP,1.5,
A8280,CRM,<0.02,0.01
A8281,BLK,ND,0.005
A8282,DUP,1.5,
A8283,CRM,<0.02,0.01
A8284,BLK,ND,0.005
A8285,DUP,1.5,
A8286,CRM,<0.02,0.01
A8287,BLK,ND,0.005
A8288,DUP,1.5,
A8289,CRM,<0.02,0.01
A8290,BLK,ND,0.005
A8291,DUP,1.5,
A8292,CRM,<0.02,0.01
A8293,BLK,ND,0.005
A8294,DUP,1.5,
A8295,CRM,<0.02,0.01
A8296,BLK,ND,0.005
A8297,DUP,1.5,
A8298,CRM,<0.02,0.01
A8299,BLK,ND,0.005
A8300,DUP,1.5,
A8301,CRM,<0.02,0.01
A8302,BLK,ND,0.005
A8303,DUP,1.5,
A8304,CRM,<0.02,0.01
A8305,BLK,ND,0.005
A8306,DUP,1.5,
A8307,CRM,<0.02,0.01
A8308,BLK,ND,0.005
A8309,DUP,1.5,
A8310,CRM,<0.02,0.01
A8311,BLK,ND,0.005
A8312,DUP,1.5,
A8313,CRM,<0.02,0.01
A8314,BLK,ND,0.005
A8315,DUP,1.5,
A8316,CRM,<0.02,0.01
A8317,BLK,ND,0.005
A8318,DUP,1.5,
A8319,CRM,<0.02,0.01
A8320,BLK,ND,0.005
A8321,DUP,1.5,
A8322,CRM,<0.02,0.01
A8323,BLK,ND,0.005
A8324,DUP,1.5,
A8325,CRM,<0.02,0.01
A8326,BLK,ND,0.005
A8327,DUP,1.5,
A8328,CRM,<0.02,0.01
A8329,BLK,ND,0.005
A8330,DUP,1.5,
A8331,CRM,<0.02,0.01
A8332,BLK,ND,0.005
A8333,DUP,1.5,
A8334,CRM,<0.02,0.01
A8335,BLK,ND,0.005
A8336,DUP,1.5,
A8337,CRM,<0.02,0.01
A8338,BLK,ND,0.005
A8339,DUP,1.5,
A8340,CRM,<0.02,0.01
A8341,BLK,ND,0.005
A8342,DUP,1.5,
A8343,CRM,<0.02,0.01
A8344,BLK,ND,0.005
A8345,DUP,1.5,
A8346,CRM,<0.02,0.01
A8347,BLK,ND,0.005
A8348,DUP,1.5,
A8349,CRM,<0.02,0.01
A8350,BLK,ND,0.005
A8351,DUP,1.5,
A8352,CRM,<0.02,0.01
A8353,BLK,ND,0.005
A8354,DUP,1.5,
A8355,CRM,<0.02,0.01
A8356,BLK,ND,0.005
A8357,DUP,1.5,
A8358,CRM,<0.02,0.01
A8359,BLK,ND,0.005
A8360,DUP,1.5,
A8361,CRM,<0.02,0.01
A8362,BLK,ND,0.005
A8363,DUP,1.5,
A8364,CRM,<0.02,0.01
A8365,BLK,ND,0.005
A8366,DUP,1.5,
A8367,CRM,<0.02,0.01
A8368,BLK,ND,0.005
A8369,DUP,1.5,
A8370,CRM,<0.02,0.01
A8371,BLK,ND,0.005
A8372,DUP,1.5,
A8373,CRM,<0.02,0.01
A8374,BLK,ND,0.005
A8375,DUP,1.5,
A8376,CRM,<0.02,0.01
A8377,BLK,ND,0.005
A8378,DUP,1.5,
A8379,CRM,<0.02,0.01
A8380,BLK,ND,0.005
A8381,DUP,1.5,
A8382,CRM,<0.02,0.01
A8383,BLK,ND,0.005
A8384,DUP,1.5,
A8385,CRM,<0.02,0.01
A8386,BLK,ND,0.005
A8387,DUP,1.5,
A8388,CRM,<0.02,0.01
A8389,BLK,ND,0.005
A8390,DUP,1.5,
A8391,CRM,<0.02,0.01
A8392,BLK,ND,0.005
A8393,DUP,1.5,
A8394,CRM,<0.02,0.01
A8395,BLK,ND,0.005
A8396,DUP,1.5,
A8397,CRM,<0.02,0.01
A8398,BLK,ND,0.005
A8399,DUP,1.5,
A8400,CRM,<0.02,0.01
A8401,BLK,ND,0.005
A8402,DUP,1.5,
A8403,CRM,<0.02,0.01
A8404,BLK,ND,0.005
A8405,DUP,1.5,
A8406,CRM,<0.02,0.01
A8407,BLK,ND,0.005
A8408,DUP,1.5,
A8409,CRM,<0.02,0.01
A8410,BLK,ND,0.005
A8411,DUP,1.5,
A8412,CRM,<0.02,0.01
